multilocation_day_id,minutes_id,name,address,lat_long,url,notes,gps_lat,gps_long,address1,city,county,state_province,postal_code,country
,1,"Liberty Church, Helicon, Alabama","County Road 40 x County Road 4025, Helicon, AL 35541","34.131920, -87.150532",,,,,,,,,,
,2,"Concord Primitive Baptist Church, Winfield, Alabama","575 County Highway 173, Winfield, AL 35594","33.944158, -87.794022",,"Rented by Winfield City Family Church, from April 2012 until January 2016. https://www.facebook.com/WinfieldCityFamilyChurch/timeline?ref=page_internal",,,,,,,,
,3,"Little Branch Primitive Baptist Church, Albertville, Alabama","W Main St, Albertville, AL 35950","34.269315, -86.216055",,,,,,,,,,
,4,"Shady Grove Primitive Baptist Church, Winston County, Alabama","Alabama Hwy 195 x County Rd 18, Double Springs, AL 35553","34.188949, -87.425988",,,,,,,,,,
,5,"Food Services Building (Z-6), Carrollton, Georgia","1601 Maple Street, Carrollton, GA 30118","33.572743, -85.105687",,,,,,,,,,
,6,"Rockford Chapel (Friends Meeting House) - Anthioch College, Yellow Springs, Ohio","515 President St, Yellow Springs, OH 45387","39.801500, -83.887432",https://www.quakercloud.org/cloud/yellow-springs-friends-meeting,,,,,,,,,
,8,"Pleasant Grove Primitive Baptist Church, Boldo, Alabama","Arkedelphia Rd x Boldo Cemetery Rd, Boldo, AL 35504","33.853955, -87.185468",http://files.usgwarchives.net/al/walker/church/bp10pleasant.txt,,,,,,,,,
,9,"Camp Ground Methodist Church, Cleburne County, Alabama","24581 Co Rd 49, Muscadine, AL 36269","33.770347, -85.413262",,,,,,,,,,
,10,"Irish American Heritage Center, Chicago, Illinois","4626 N Knox Ave, Chicago, IL 60630","41.965317, -87.744410",http://irish-american.org/,,,,,,,,,
,11,"Lucie Stern Community Center, Palo Alto, California","1305 Middlefield Rd, Palo Alto, CA 94301","37.444323, -122.145473",http://www.cityofpaloalto.org/,,,,,,,,,
,14,"Southwestern Baptist Theological Seminary - Cowden Hall, Fort Worth, Texas","Stanley Ave x Broadus St, Forth Worth, TX 76115","32.682829, -97.347316",http://admissions.swbts.edu/visit/,,,,,,,,,
,15,"Liberty Church, Henagar, Alabama","1500 Liberty Rd, Henagar, AL 35978","34.651086, -85.757431",,,,,,,,,,
,16,"Liberty Church (McCormick), Jefferson County, Alabama","7828 McCormick Rd, Dora, AL 35062","33.737918, -87.010312",,,,,,,,,,
,17,"Jacksonville Community Center, Jacksonville, Alabama","Ladiga St SE x Chinabee Ave SE, Jacksonville, AL 36265","33.813785, -85.760119",,Now torn down,,,,,,,,
,18,"Mt. Hope Baptist Church, Northeast of Sipsey, Alabama","5039 Campbellville Rd, Bremen, AL 35033","33.883750, -87.044944",,,,,,,,,,
,19,"University of Chicago - Ida Noyes Hall, Chicago, Illinois","1212 E 59th St, Chicago, IL 60637","41.788046, -87.595566",https://maps.uchicago.edu/?location=Ida+Noyes+Hall,,,,,,,,,
,20,"Antioch Baptist Church, South of Tallapoosa, Georgia","1050 Old Hwy 100, Waco, GA 30182","33.661946, -85.283001",,,,,,,,,,
,21,"Redeemer Lutheran Church, Columbus, Ohio","1555 S James Rd, Columbus, OH 43227","39.938841, -82.916076",,,,,,,,,,
,22,"Cordova Senior Citizen Center, Cordova, Alabama","65 3rd Ave, Cordova, AL 35550","33.761857, -87.183556",,,,,,,,,,
,23,"Winston County Courthouse, Winston County, Alabama","Court Dr x Blake Dr, Double Springs, AL 35553","34.146753, -87.402194",http://www.winstoncountycircuitclerk.org/,,,,,,,,,
,24,"Texas A&M United Methodist Church, College Station, Texas","417 University Drive, College Station, TX 77840","30.619310, -96.345303",http://www.am-umc.org/en/,,,,,,,,,
,26,"St. Andrew’s Presbyterian Church, Portland, Oregon","3228 SW Sunset Blvd, Portland, OR 97239","45.488393, -122.709956",http://www.standrewspdx.com/,,,,,,,,,
,27,"Glen Eden Community Center, Raleigh, North Carolina","1500 Glen Eden Dr, Raleigh, NC 27612","35.827327, -78.684534",,,,,,,,,,
,28,"Bethel Primitive Baptist Church, Heard County, Georgia","Armstrong Mill Rd x US Hwy 27, Centralhatchee, GA 30170","33.391963, -85.115294",,,,,,,,,,
,29,"Providence Primitive Baptist Church, Vinemont, Alabama","County Rd 1428 x Country Rd 1435, Vinemont, AL 35179","34.270827, -86.811957",https://pbchurches.org/2007/11/27/providence-primitive-baptist-church-tallassee-alabama/,,,,,,,,,
,30,"New Flatwoods Church, Nauvoo (Walker County), Alabama","New Flatwood Rd (between County Rd 11 & Jagger Rd), Nauvoo, AL 35578","33.946955, -87.488410",,,,,,,,,,
,31,"Ephesus School, Roopville, Georgia","24414 Georgia Hwy 100, Roopville, GA 30170","33.405675, -85.252988",,,,,,,,,,
,33,"Oxford City Hall, Oxford, Mississippi","107 Courthouse Square, Oxford, MS 38655","34.366483, -89.517889",http://www.oxfordms.net/,,,,,,,,,
,34,"Old Clear Creek Church, Marshall County, Alabama","Wisner Rd x Friendship Rd, Boaz, AL 35957","34.147144, -86.288142",,,,,,,,,,
,35,"Pleasant Grove Primitive Baptist Church, Boldo, Alabama","Arkedelphia Rd x Boldo Cemetery Rd, Boldo, AL 35504","33.853955, -87.185468",http://files.usgwarchives.net/al/walker/church/bp10pleasant.txt,,,,,,,,,
,36,"Antioch Methodist Church, Cleburne County, Alabama",,,,,,,,,,,,
,38,"George Wallace Senior Citizen Center, Glencoe, Alabama","407 Hollingsworth Park Lane, Glencoe, AL 35905","33.956079, -85.925005",http://www.cityofglencoe.net/Senior-Citizen-Center,,,,,,,,,
,39,"The Log Cabin Sacred Harp Singing, North of Double Springs, Alabama",,,,,,,,,,,,
,40,"Shady Grove Primitive Baptist Church, Winston County, Alabama","Alabama Hwy 195 x County Rd 18, Double Springs, AL 35553","34.188949, -87.425988",,,,,,,,,,
,41,"Rockford Chapel (Friends Meeting House) - Anthioch College, Yellow Springs, Ohio","515 President St, Yellow Springs, OH 45387","39.801500, -83.887432",https://www.quakercloud.org/cloud/yellow-springs-friends-meeting,,,,,,,,,
,42,"Old Dekalb Courthouse, Decatur, Georgia","101 E Court Square, Decatur, GA 30030","33.775122, -84.296484",http://www.dekalbhistory.org/dekalb_history_center_museum_dekalb-history.htm,,,,,,,,,
,43,"Pohick Episcopal Church, Lorton, Virginia","9301 Richmond Hwy, Lorton, VA 22079","38.709015, -77.193882",http://www.pohick.org/,,,,,,,,,
,43,"Ravensworth Baptist Church, Annandale, Virginia","5100 Ravensworth Rd, Annandale, VA 22003","38.812461, -77.210090",http://www.ravensworthbaptist.org/,,,,,,,,,
,43,"Hearst Hall, National Cathedral School","3612 Woodley Rd NW, Washington, DC 20016","38.931269, -77.072121",https://www.google.com/maps/d/viewer?mid=zquATVrQtBS8.kmKjRu2-M9E4&hl=en_US,,,,,,,,,
,43,"Barns of Wolf Trap in Vienna, Virginia","1635 Trap Rd, Vienna, VA 22182","38.932790, -77.265096",http://www.wolftrap.org/,,,,,,,,,
,44,"Edwardsville Baptist Church, Edwardsville, Alabama","4062 Burton St, Heflin, AL 36264","33.706246, -85.508978",,,,,,,,,,
,45,"Old Enon Church, Lynn, Alabama","County Rd 37 x County Rd 339, Lynn, AL 35575","34.059402, -87.501603",,,,,,,,,,
,46,"State Line Church, Cleburne County (Near Muscadine), Alabama","County Rd 207 (between County Rd 69 and the Georgia State Line), Muscadine, AL 36269","33.755559, -85.363100",,,,,,,,,,
,47,"Antioch Baptist Church, Ider, Alabama","County Rd 783 x County Rd 141, Ider, AL 35981","34.750679, -85.628201",,,,,,,,,,
,48,"Old County Line Church, Corner, Alabama","Old County Line Church Rd, Warrior, AL 35180","33.807181, -86.927940",,,,,,,,,,
,49,"Seed and Feed Sacred Harp Singing, Atlanta, Georgia",,,,,,,,,,,,
,50,"Rocky Mount Primitive Baptist Church, Arab, Alabama","Old Gunthersville Hwy off Hwy. 69, Arab, AL 35016","34.346525, -86.449990",,,,,,,,,,
,51,"Old Harmony Primitive Baptist Church, Abernathy, Alabama","Co Rd 60, Abernathy, AL 36264","33.646132, -85.418326",,,,,,,,,,
