id,singing,location,date,corrected_singing,index,start,end,one-off,book,notes,source,action,confidence
1,Liberty Church,"Helicon, Alabama","December 4, 1994",Liberty Church - Helicon,46.0,,,,,,Singings.csv,keep_existing,1.0
2,Concord Primitive Baptist Church,"Winfield, Alabama","December 11, 1994",Joseph Jackson Beasley Memorial,,,,,mix,,Singings.csv,keep_existing,1.0
3,Little Branch Primitive Baptist Church,"Albertville, Alabama","December 15, 1994",Little Branch Primitive Baptist Church,,,,,,,Singings.csv,keep_existing,1.0
4,Dutch Treat Singing,"Shady Grove Church, Winston County, Alabama","January 1, 1995",Shady Grove Annual Singing,,,,,,,Singings.csv,keep_existing,1.0
5,Original Dutch Singing,"West Georgia College, Carrollton, Georgia","January 1, 1995",University of West Georgia,,,,,,,Singings.csv,keep_existing,1.0
6,Friends Meetinghouse,"Yellow Springs, Ohio","January 2, 1995",Yellow Springs,9.0,,,,,,Singings.csv,keep_existing,1.0
7,William Walker Memorial Singing,"Wofford College, Spartanburg, South Carolina","January 7, 1995",South Carolina State Singing in Memory of William Walker,,,,,,,minutes_pre95.db,add_new_row_from_database,0.55
8,Lillian Calvert and Irene Woodley Memorial,"Pleasant Grove Church, Boldo, Alabama","January 7, 1995",Lillian Calvert and Irene Woodley Memorial,41.0,,,,,,Singings.csv,keep_existing,1.0
9,Jack and Henry Kerr Memorial,"Camp Ground Methodist Church, North of Fruithurst, Alabama","January 8, 1995",Jack and Henry Kerr Memorial,,,,,,"""Lonnie Rogers made a motion that this singing in the future be known as the “Jack and Henry Kerr Memorial Singing”""",Singings.csv,keep_existing,1.0
10,Anniversary Singing,"Irish American Heritage Center, Chicago, Illinois","January 8, 1995",Chicago Anniversary Singing,11.0,,,,,,Singings.csv,keep_existing,1.0
11,All-California Sacred Harp Singing Convention,"Palo Alto, California","January 15, 1995",All-California Sacred Harp Singing Convention,7.0,,,,,,Singings.csv,keep_existing,1.0
12,Fohs Hall Four-Note Singing,"Marion, Kentucky","January 21, 1995",Fohs Hall Four-Note Singing,,,,,,,minutes_pre95.db,add_new_row_from_database,0.55
13,Baldwin County Singing Convention,"City Hall - Bay Minette, Alabama","January 21-22, 1995",W. L. Green Memorial and Baldwin County Sacred Harp Convention (Cooper Book),,,,,,,minutes_pre95.db,add_new_row_from_database,0.7
14,Southwestern Baptist Theological Seminary,"Fort Worth, Texas","January 28, 1995",William J. Reynolds Sacred Harp Singing,11.0,,,,,,Singings.csv,keep_existing,1.0
15,Liberty Church,"Henagar, Alabama","January 29, 1995",Ivey Memorial Singing,,,,,,,Singings.csv,keep_existing,1.0
16,"Parker, Hollis, and Putman Memorial","Liberty Church (McCormick), Jefferson County, Alabama","January 29, 1995","Parker, Hollis, and Putman Memorial",,,,,,,Singings.csv,keep_existing,1.0
17,Bob Burnham Memorial Dutch Treat Singing,"Jacksonville, Alabama","February 5, 1995",Burnham and Brown Memorial,29.0,,,,,,Singings.csv,keep_existing,1.0
18,Mt. Hope Baptist Church,"Northeast of Sipsey, Alabama","February 5, l995",J.D. Starnes Memorial,,,,,,,Singings.csv,keep_existing,1.0
19,Lincoln's Birthday Singing,"University of Chicago, Ida Noyes Hall","February 5, 1995",Lincoln's Birthday Singing,4.0,,,,,,Singings.csv,keep_existing,1.0
20,Antioch Baptist Church - Birthday Singing,"South of Tallapoosa, Georgia on Old 100 Highway","Friday Night, February 10, 1995","Elder Homer Benefield, Katherine Benefield, and Mildred Johnson Memorial",3.0,,,,,,Singings.csv,keep_existing,1.0
21,Ohio State Convention,"Columbus, Ohio","February 17-19, 1995",Ohio State Convention,3.0,,,,,,Singings.csv,keep_existing,1.0
22,Sanders Memorial,"Cordova Senior Citizen Center - Cordova, Alabama","February 19, 1995",Sanders Memorial,,,,,,,Singings.csv,keep_existing,1.0
23,Winston County Courthouse Memorial Singing,"Winston County, Alabama","Saturday, February 25, 1995",Winston County Courthouse Memorial Singing,2.0,,,,,,Singings.csv,keep_existing,1.0
24,Texas State Convention,"College Station, Texas","February 25-26, 1995",Texas State Convention,4.0,,,,,,Singings.csv,keep_existing,1.0
25,University of Georgia,"Visitor Center-Botanical Gardens, Athens, Georgia","February 26, 1995",University of Georgia Singing,,,,,,,minutes_pre95.db,add_new_row_from_database,0.7
26,Pacific Northwest Convention,"Portland, Oregon","February 26, 1995",Pacific Northwest Convention,4.0,,,,,,Singings.csv,keep_existing,1.0
27,North Carolina Sacred Harp Convention,"Glen Eden Community Center, Raleigh, North Carolina","Saturday, March 4, 1995",North Carolina Sacred Harp Convention,7.0,,,,,,Singings.csv,keep_existing,1.0
28,Duke Memorial Singing,"Bethel Primitive Baptist Church - Heard County, Georgia","Saturday, March 4, 1995",Duke Memorial Singing,,,,,,,Singings.csv,keep_existing,1.0
29,Mr. and Mrs. O. H. Handley and Mr. and Mrs. W. H. Walker Memorial Singing,"Vinemont Fire Station, Vinemont, Alabama (Cullman, County)","March 5, 1995",Walker Memorial Singing,,,X,,,,Singings.csv,keep_existing,1.0
30,Martha Harper Nix - Lewis Keeton Memorial,"New Flatwoods Church - Nauvoo, Alabama - Walker County","March 5, 1995","Martha Harper Nix, Lewis Keeton, and Lavada McGough Gilmore Memorial",,,,,,,Singings.csv,keep_existing,1.0
31,Mr. and Mrs. Frank Rogers Memorial,"Ephesus School, Ephesus, Georgia","March 5, 1995",Rogers Memorial Singing,,,,,,,Singings.csv,keep_existing,1.0
32,Missouri State Convention,"Union Baptist Church, Saint Louis, Missouri","March 11-12, 1995",Missouri State Convention,,,,,,,minutes_pre95.db,add_new_row_from_database,0.97
33,Oxford City Hall,"Oxford, Mississippi","March 12, 1995",Oxford City Hall,15.0,,,,,,Singings.csv,keep_existing,1.0
34,L. O. and C. H. Gilliland Memorial,"Old Clear Creek Primitive Baptist Church - Douglas, Alabama","March 12, 1995",Gilliland and Brothers Memorial Singing,,,,,,,Singings.csv,keep_existing,1.0
35,Boldo Memorial Singing,"Pleasant Grove Primitive Baptist Church at Boldo, near Jasper, Alabama","Saturday Night, March 18, 1995","Stephenson, Wall, and Hocutt Memorial",,,,,,,Singings.csv,keep_existing,1.0
36,Antioch Methodist Church,"Cleburne County, Alabama","March 19, 1995",Antioch Methodist Church,,,,,,,Singings.csv,keep_existing,1.0
37,Garrison Memorial (Cooper Book),"Oak Grove Primitive Baptist Church \n Birmingham Rd., Alpharetta, Georgia","March 19, 1995",Garrison Memorial (Cooper Book),,,,,,,minutes_pre95.db,add_new_row_from_database,0.55
