"Pacific Northwest \n Sacred Harp Convention, Oregon","October 15-16, 2022","posh2022-10-16.PNWC-OS.mosquito.v2.flac24"
"Pacific Northwest Convention, Washington","February 18-19, 2023","pnwshs2023-02-18.PNWSHC-WS.mosquito.flac24"
"United Sacred Harp Musical Association","September 8-9, 2007","2007-09-08-united"
"Burnham and Brown Memorial","Sunday, February 3, 2008","BurnhamBrown08"
"University of Georgia","Sunday, February 24, 2008","2008SocialHarp"
"Mr. and Mrs. Frank Rogers Memorial Singing","Sunday, March 2, 2008","08-rogers-memorial"
"Western Massachusetts Sacred Harp Convention","March 8-9, 2008","08-western-mass03_08_2008"
"Western Massachusetts Sacred Harp Convention","March 8-9, 2008","08-western-mass03_09_08"
"Ivey Memorial Singing","Sunday, March 29, 2009","2009-03-29-ivey-memorial-2009liberty-march"
"Henagar-Union Convention","July 4-5, 2009","09-sat-henagar-union"
"Henagar-Union Convention","July 4-5, 2009","09-sun-henagar-union"
"Lacy Memorial Singing","Sunday, August 29, 2010","2010-08-29-lacy-memorial"
"Chafin, Harbinson, and Hollis Memorial","Sunday, July 17, 2011","07-17-11-new-prospect"
"The United Sacred Harp Musical Association","September 7-8, 2013","09-07-13-united"
"The United Sacred Harp Musical Association","September 7-8, 2013","09-08-13-united"
"Alexander, Hullett, Lowe, Brothers, Hyatt, Putman, and Wootten Memorial","Sunday, October 6, 2013","10-06-13-hopewell"
"Alabama Sacred Harp Musical Convention","November 23-24, 2013","11-23-13-alstate"
"Alabama Sacred Harp Musical Convention","November 23-24, 2013","11-24-2013-alstate"
"Burnham and Brown Memorial","Sunday, February 2, 2014","2014-burnham-brown"
"Georgia State Sacred Harp Convention","March 22-23, 2014","03-23-2014-gastate"
"Ivey Memorial","Sunday, March 30, 2014","03-30-2014-liberty"
"Liberty Decoration Day Singing","Sunday, June 1, 2014","2014-liberty-decoration"
"Salem United Methodist Church","Saturday, June 21, 2014","2014-cedar-bluff"
"Henagar-Union Convention","July 5-6, 2014","2014-07-05-henagar-union"
"Henagar-Union Convention","July 5-6, 2014","2014-07-06-henagar-union"
"Alabama Sacred Harp Musical Convention","November 22-23, 2014","11-22-14-al-state"
"Alabama Sacred Harp Musical Convention","November 22-23, 2014","11-23-14-al-state"
"Ivey Memorial","Sunday, March 29, 2015","03-29-15-ivey-memorial"
"National Sacred Harp Convention","June 18-20, 2015","2015-06-19-nationals"
"Mt. Lebanon Baptist Church","Sunday, June 28, 2015","6-28-15-mt-leb"
"Henagar-Union Convention","July 4-5, 2015","7-04-15-henagar-union"
"Henagar-Union Convention","July 4-5, 2015","7-05-15-henagar-union"
"Alabama Sacred Harp Musical Convention","November 21-22, 2015","2015-al-state-sat"
"Alabama Sacred Harp Musical Convention","November 21-22, 2015","2015-al-state-sun"
"Ivey Memorial","Sunday, January 31, 2016","2016-ivey-memorial"
