36b,Mark Davis
99,Gaston White
475,Hubert Nall
147b,Kathy Williams
492,Cheryl Foreman
313t,Helen Brown
489,Sonny Erwin
52t,Buell Cobb
275b,Jesse Roberts
344,Gary Smith
318,Judy Chambless
67,Samuel Wright
43,Richard Mauldin
565,Daniel Lee
549,Henry Guthery
72b,Cora Beasley Sweatt
180,Randy Webber
225t,Robert Chambless
BREAK,RECESS
128,Sonny Erwin
480,Jack Nelson
204,Becky Briggs
569b,Jack Pate
473,Catherine Brown
86,Glenn Keeton
456,Bea Aaron
112,Douglas Fower
230,Henry Johnson
159,Virginia Douglas
101t,Steve Adams
47b,Jim Aaron
171,Sarah Trumbore
340,Sarah Beasley
70b,Arlon Gardner
BREAK,RECESS
37b,Kathy Williams
377,Chita Blakely
34b,Bruce Voyles
282,Matthew Keeton
282,Isabella Keeton
345t,Claire Davis
145b,Corissa Sweatt
145b,Jonathan Sweatt
145b,Hayley Beasley
45t,Corissa Sweatt
45t,Jonathan Sweatt
45t,Hayley Beasley
547,J.R. Hardman
423,Steve Helwig
178,Pam Minor
178,Gill Minor
73t,Andy Ditzler
66,Rosalind Oldham
540,David Ivey
441,Doug Conn
BREAK,LUNCH
270,Glenn Keeton
271t,Richard Schmeidler
108b,Billy See
192,Amber Davis
155,Vicki Elliott
96,Nathan Rees
189,Pam Nunn
189,Sharon DuPriest
119,Ted Brown
436,Emily Brown
371,Dan Brittain
273,Anne Heider
392,Jesse Karlsberg
373,Mike Hinton
542,Margaret Gillanders
224,Gillian Inksetter
224,Idy Kiser
411,Aldo Ceresa
474,Steve Warner
442,Gary Padgett
208,Lauren Bock
220,Jonathon Smith
425,Frank Griggs
106,Linda Thomas
349,Ginnie Ely
319,Nathan Stewart
74t,Rebecca Over
428,David Brodeur
BREAK,RECESS
88t,Mark Davis
486,Charlotte Ehrman
65,Susan Cherones
232,Pat Temple
138t,Frances Miller
384,Rosemary Greenaway
39t,Adam Brasich
300,Wendy Anderson
72t,Daniel Bearden
163b,Leslie Booher
512,Laura McMurray
288,Isaac Montgomery Sligh
361,Dorothea Maynard
BREAK,DAY
42,Mark Davis
148,Gaston White
168,Hubert Nall
275t,Buell Cobb
191,Kathy Williams
276,Cheryl Foreman
234,Helen Brown
111b,Sonny Erwin
448t,Marlin Beasley
546,Mary Wright
547,Sue Bunch
43,Richard Mauldin
287,Rick Foreman
228,Alexandra Maymi
480,Zilpha Cornett
498,Nicholas Thompson
107,Becky Strickland
217,Charlie Williams
BREAK,RECESS
129,Jonathon Smith
106,Chloe Webb
318,Laurie Silva
29t,Mike Hawkins
32t,Wyatt Denney
66,Sharona Nelson
57,Michael Penny
254,Jesse Roberts
354t,Delone Cobbs
542,Ann Riley Gray
87,Phillip Denney
284,Eric Conrad
BREAK,RECESS
176t,Nathan Rees
528,David Carlton
455,Diane Ross
475,B.M. Smith
410t,Nate Green
410t,Norma Green
551,Larry Ballinger
268,Dennis George
441,Judy Whiting
481,Micah Roberts
250,Nikos Pappas
101t,Cheyenne Ivey
419,Donald Ross
569b,Bill Stewart
496,Geraldine Sharpton
280,Eugene Forbes
355,Warren Steel
BREAK,LUNCH
385t,Henry Johnson
108b,Earl Ballinger
142,Amber Davis
452,Loyd Ivey
434,Daphene Causey
467,Beth Branscome
270,Rodney Ivey
500,Judy Caudle
206,Steve Brett
522,David Ivey
384,Coy Ivey
153,Karen Rollins
195,Leon Ballinger
377,Bridgett Hill Kennedy
131b,Richard Ivey
131b,Kelsey Ivey
56b,Aldo Ceresa
560,Lauren Bock
137,Sharon DuPriest
214,Scott Ivey
183,Vicki Elliott
178,Dallas Gambrell
430,Dan Brittain
440,Kelsey Ivey
84,Pam Minor
236,Mark Davis
460,Becky Briggs
460,Corissa Sweatt
68b,Bruce Boyle
49b,Robert Dickey
49b,Richard Mauldin
95,Laura McMurray
BREAK,DAY
129,Mark Davis
155,Gaston White
566,Hubert Nall
138t,Buell Cobb
77b,Kathy Williams
187,Cheryl Foreman
411,Helen Brown
31b,Sonny Erwin
376,Jesse Roberts
59,Pat Temple
569b,Gary Smith
495,Mike Hinton
365,Charlotte Ehrman
277,Arlon Gardner
231,Jim Aaron
218,Gary Padgett
147t,Virginia Douglas
524,Jack Nelson
313b,Randy Webber
543,Diane Ross
47b,Leslie Booher
312b,Billy See
225t,Donald Ross
BREAK,RECESS
32t,Sonny Erwin
32t,Helen Brown
111b,Cora Sweatt
358,David Branham
568,Bea Aaron
154,Sarah Trumbore
318,Micah Roberts
85,Virgel Campbell
385b,Eric Tweedy
140,Daniel Bearden
503,Rosalind Oldham
176b,Jackson Fleder
196,Ginnie Ely
564,Susan Cherones
86,Steve Warner
391,Margaret Gillanders
164,Henry Johnson
400,Sharona Nelson
354b,Mike Hinton
354b,Sharona Nelson
47t,Linda Thomas
515,Rick Foreman
145t,Charles McCravy
353,Rebecca Over
278t,Phil Summerlin
61,Sarah Beasley
282,Rosemary Greenaway
BREAK,LUNCH
144,Jesse Roberts
58,Nathan Stewart
87,Corissa Sweatt
448t,David Carlton
485,Morgan Bunch
485,Sue Bunch
146,Mary Wright
442,Warren Steel
532,Anne Heider
99,Nathan Rees
99,Jesse Karlsberg
216,Elene Stovall
474,Richard Schmeidler
426b,Ted Brown
209,Sharona Nelson
110,Jonathon Smith
207,Ann Riley Gray
501,Sue Bunch
348t,Eric Conrad
236,Anne Heider
208,Becky Briggs
57,Isaac Sligh
304,Dorothea Maynard
572,Jesse Karlsberg
77t,UK Singers
