multilocation_day_id,minutes_id,name,address,lat_long,url,notes,gps_lat,gps_long,address1,city,county,state_province,postal_code,country
,7214,Fair Oaks Community Club,"1465 W Booth Rd Ext SW, Marietta, GA 30008","33.917710, -84.564654",,,33.917710,-84.564654,1465 W Booth Rd Ext SW,Marietta,,GA,30008,USA
,7222,Murphy-Blair Community Church,"1444 Wright St., St. Louis, MO 63107","38.651688, -90.199783",,,38.651688,-90.199783,1444 Wright St.,St. Louis,,MO,63107,USA
,7223,Old Clear Creek Church,"4147 Mt Hebron Rd, Douglas, AL 35964","34.135204, -86.300437",,,34.135204,-86.300437,4147 Mt Hebron Rd,Douglas,,AL,35964,USA
,7571,Old Clear Creek Church,"4147 Mt Hebron Rd, Douglas, AL 35964","34.135204, -86.300437",,,34.135204,-86.300437,4147 Mt Hebron Rd,Douglas,,AL,35964,USA
,7226,Wedgwood Baptist Church,"8201 30th Ave NE, Seattle, WA 98115","47.688651, -122.296474",,,47.688651,-122.296474,8201 30th Ave NE,Seattle,,WA,98115,USA
,7562,"University Friends Meeting House, Seattle","4001 9th Ave NE, Seattle, WA 98105","47.656156, -122.319063",,,47.656156,-122.319063,4001 9th Ave NE,Seattle,,WA,98105,USA
,7230,Mount Pleasant Baptist Church,"5259 AL-227, Crossville, AL 35962","34.249935, -85.980512",,,34.249935,-85.980512,5259 AL-227,Crossville,,AL,35962,USA
,7401,Mount Pleasant Baptist Church,"5259 AL-227, Crossville, AL 35962","34.249935, -85.980512",,,34.249935,-85.980512,5259 AL-227,Crossville,,AL,35962,USA
,7234,"Rosedale Lion Club, Tuscaloosa, Alabama","3000 Greensboro Ave, Tuscaloosa, AL 35401","33.183606, -87.556158",,,33.183606,-87.556158,3000 Greensboro Ave,Tuscaloosa,,AL,35401,USA
,7363,"Rosedale Lion Club, Tuscaloosa, Alabama","3000 Greensboro Ave, Tuscaloosa, AL 35401","33.183606, -87.556158",,,33.183606,-87.556158,3000 Greensboro Ave,Tuscaloosa,,AL,35401,USA
,7523,"Rosedale Lion Club, Tuscaloosa, Alabama","3000 Greensboro Ave, Tuscaloosa, AL 35401","33.183606, -87.556158",,,33.183606,-87.556158,3000 Greensboro Ave,Tuscaloosa,,AL,35401,USA
,7697,"Rosedale Lion Club, Tuscaloosa, Alabama","3000 Greensboro Ave, Tuscaloosa, AL 35401","33.183606, -87.556158",,,33.183606,-87.556158,3000 Greensboro Ave,Tuscaloosa,,AL,35401,USA
,7227,"Antioch Methodist Church, Cleburne County, Alabama","12595 County Rd 49, Heflin, AL","33.640309, -85.397997",,,33.640309,-85.397997,12595 County Rd 49,Heflin,,AL,,USA
,7396,"Antioch Methodist Church, Cleburne County, Alabama","12595 County Rd 49, Heflin, AL","33.640309, -85.397997",,,33.640309,-85.397997,12595 County Rd 49,Heflin,,AL,,USA
,7574,"Antioch Methodist Church, Cleburne County, Alabama","12595 County Rd 49, Heflin, AL","33.640309, -85.397997",,,33.640309,-85.397997,12595 County Rd 49,Heflin,,AL,,USA
,7238,"Coles County Courthouse, Charleston, Illinois","651 Jackson Ave, Charleston, IL 61920","39.494932, -88.175146",,,39.494932,-88.175146,651 Jackson Ave,Charleston,,IL,61920,USA
,7246,"Ephesus Church, Valley (Fairfax), Alabama","River Rd, Valley, AL 36854","32.789525, -85.176861",,,32.789525,-85.176861,River Rd,Valley,,AL,36854,USA
,7412,"Ephesus Church, Valley (Fairfax), Alabama","River Rd, Valley, AL 36854","32.789525, -85.176861",,,32.789525,-85.176861,River Rd,Valley,,AL,36854,USA
,7591,"Ephesus Church, Valley (Fairfax), Alabama","River Rd, Valley, AL 36854","32.789525, -85.176861",,,32.789525,-85.176861,River Rd,Valley,,AL,36854,USA
,7245,Waterworks Lodge,"655 Reservoir Dr NW, Atlanta, GA 30318","33.793216, -84.410117",,,33.793216,-84.410117,655 Reservoir Dr NW,Atlanta,,GA,30318,USA
,7258,"Alumni Building, Berea College","101 Chestnut St, Berea, KY 40403","37.570617, -84.289070",,,37.570617,-84.289070,101 Chestnut St,Berea,,KY,40403,USA
,7425,"Alumni Building, Berea College","101 Chestnut St, Berea, KY 40403","37.570617, -84.289070",,,37.570617,-84.289070,101 Chestnut St,Berea,,KY,40403,USA
,7605,"Alumni Building, Berea College","101 Chestnut St, Berea, KY 40403","37.570617, -84.289070",,,37.570617,-84.289070,101 Chestnut St,Berea,,KY,40403,USA
,7267,"First Baptist Church, Evanston, Illinois","607 Lake St, Evanston, IL 60201","42.044342, -87.680989",,,42.044342,-87.680989,607 Lake St,Evanston,,IL,60201,USA
,7272,"Alpharetta Municipal Building, Alpharetta, Georgia","2 S Main St, Alpharetta, GA 30009","34.075357, -84.294228",,Building was torn down sometime after 2012,34.075357,-84.294228,2 S Main St,Alpharetta,,GA,30009,USA
,7440,"Alpharetta Municipal Building, Alpharetta, Georgia","2 S Main St, Alpharetta, GA 30009","34.075357, -84.294228",,Building was torn down sometime after 2012,34.075357,-84.294228,2 S Main St,Alpharetta,,GA,30009,USA
,7621,"Alpharetta Municipal Building, Alpharetta, Georgia","2 S Main St, Alpharetta, GA 30009","34.075357, -84.294228",,Building was torn down sometime after 2012,34.075357,-84.294228,2 S Main St,Alpharetta,,GA,30009,USA
,7281,"St. Michael Church, Cleburne County, Alabama","County Rd 14 x County Rd 40, Muscadine, AL 36269","33.815221, -85.406945",http://www.interment.net/data/us/al/cleburne/st_michael.htm,,33.815221,-85.406945,County Rd 14 x County Rd 40,Muscadine,,AL,36269,USA
,7539,"St. Michael Church, Cleburne County, Alabama","County Rd 14 x County Rd 40, Muscadine, AL 36269","33.815221, -85.406945",http://www.interment.net/data/us/al/cleburne/st_michael.htm,,33.815221,-85.406945,County Rd 14 x County Rd 40,Muscadine,,AL,36269,USA
,7630,"St. Michael Church, Cleburne County, Alabama","County Rd 14 x County Rd 40, Muscadine, AL 36269","33.815221, -85.406945",http://www.interment.net/data/us/al/cleburne/st_michael.htm,,33.815221,-85.406945,County Rd 14 x County Rd 40,Muscadine,,AL,36269,USA
,7282,"Pleasant Valley Church, Gallant, Alabama","52 Pleasant Valley Rd, Gallant, AL 35972","33.947904, -86.299810",,,33.947904,-86.299810,52 Pleasant Valley Rd,Gallant,,AL,35972,USA
,7303,"Pleasant Valley Church, Gallant, Alabama","52 Pleasant Valley Rd, Gallant, AL 35972","33.947904, -86.299810",,,33.947904,-86.299810,52 Pleasant Valley Rd,Gallant,,AL,35972,USA
,7450,"Pleasant Valley Church, Gallant, Alabama","52 Pleasant Valley Rd, Gallant, AL 35972","33.947904, -86.299810",,,33.947904,-86.299810,52 Pleasant Valley Rd,Gallant,,AL,35972,USA
,7285,Indian Creek Church,"1282 GA-100, Bowdon, GA 30108","33.580133, -85.254702",,,33.580133,-85.254702,1282 GA-100,Bowdon,,GA,30108,USA
,7453,Indian Creek Church,"1282 GA-100, Bowdon, GA 30108","33.580133, -85.254702",,,33.580133,-85.254702,1282 GA-100,Bowdon,,GA,30108,USA
,7291,"New Flatwoods Church, Nauvoo (Walker County), Alabama","Nauvoo, AL 35578","33.946981, -87.488392",,,33.946981,-87.488392,,Nauvoo,,AL,35578,USA
,7458,"New Flatwoods Church, Nauvoo (Walker County), Alabama","Nauvoo, AL 35578","33.946981, -87.488392",,,33.946981,-87.488392,,Nauvoo,,AL,35578,USA
,7638,"New Flatwoods Church, Nauvoo (Walker County), Alabama","Nauvoo, AL 35578","33.946981, -87.488392",,,33.946981,-87.488392,,Nauvoo,,AL,35578,USA
,7295,"Northminster Presbyterian Church, Columbus, Ohio","203 King Avenue, Columbus, OH 43201","39.990166, -83.011660",,,39.990166,-83.011660,203 King Avenue,Columbus,,OH,43201,USA
,7296,"Sherer Auditorium, Jasper, Alabama","121 17th St W, Jasper, AL 35501","33.834563, -87.276608",,,33.834563,-87.276608,121 17th St W,Jasper,,AL,35501,USA
,7466,"Sherer Auditorium, Jasper, Alabama","121 17th St W, Jasper, AL 35501","33.834563, -87.276608",,,33.834563,-87.276608,121 17th St W,Jasper,,AL,35501,USA
,7644,"Sherer Auditorium, Jasper, Alabama","121 17th St W, Jasper, AL 35501","33.834563, -87.276608",,,33.834563,-87.276608,121 17th St W,Jasper,,AL,35501,USA
,7298,"Calvary Episcopal Church, Cincinnati, Ohio","3766 Clifton Ave, Cincinnati, OH 45220","39.152252, -84.517812",,,39.152252,-84.517812,3766 Clifton Ave,Cincinnati,,OH,45220,USA
,7300,Dorsey Creek Church,"9174 AL-69, Bremen, AL 35033","33.976943, -86.982293",,,33.976943,-86.982293,9174 AL-69,Bremen,,AL,35033,USA
,7308,Dorsey Creek Church,"9174 AL-69, Bremen, AL 35033","33.976943, -86.982293",,,33.976943,-86.982293,9174 AL-69,Bremen,,AL,35033,USA
,7471,Dorsey Creek Church,"9174 AL-69, Bremen, AL 35033","33.976943, -86.982293",,,33.976943,-86.982293,9174 AL-69,Bremen,,AL,35033,USA
,7484,Dorsey Creek Church,"9174 AL-69, Bremen, AL 35033","33.976943, -86.982293",,,33.976943,-86.982293,9174 AL-69,Bremen,,AL,35033,USA
,7648,Dorsey Creek Church,"9174 AL-69, Bremen, AL 35033","33.976943, -86.982293",,,33.976943,-86.982293,9174 AL-69,Bremen,,AL,35033,USA
,7662,Dorsey Creek Church,"9174 AL-69, Bremen, AL 35033","33.976943, -86.982293",,,33.976943,-86.982293,9174 AL-69,Bremen,,AL,35033,USA
,7306,"Ebenezer Methodist Church, Chambers County, Alabama","2757 County Rd. 123, Bosworth, AL 36862","33.016247, -85.548805",,,33.016247,-85.548805,2757 County Rd. 123,Bosworth,,AL,36862,USA
,7307,"Mars Hill Primitive Baptist Church, Cleburne County, Alabama","County Rd 65 x County Rd 234, Fruithurst, AL 36262","33.842339, -85.406071",http://roadsidethoughts.com/cem_map.htm?cem=Mars%20Hill%20Cemetery&lat=33.839548&lon=-85.402177&lsr=gn&st=Alabama&frm=Heflin&dir=NE&dst=16&frm=Heflin,,33.842339,-85.406071,County Rd 65 x County Rd 234,Fruithurst,,AL,36262,USA
,7339,"Mars Hill Primitive Baptist Church, Cleburne County, Alabama","County Rd 65 x County Rd 234, Fruithurst, AL 36262","33.842339, -85.406071",http://roadsidethoughts.com/cem_map.htm?cem=Mars%20Hill%20Cemetery&lat=33.839548&lon=-85.402177&lsr=gn&st=Alabama&frm=Heflin&dir=NE&dst=16&frm=Heflin,,33.842339,-85.406071,County Rd 65 x County Rd 234,Fruithurst,,AL,36262,USA
,7483,"Mars Hill Primitive Baptist Church, Cleburne County, Alabama","County Rd 65 x County Rd 234, Fruithurst, AL 36262","33.842339, -85.406071",http://roadsidethoughts.com/cem_map.htm?cem=Mars%20Hill%20Cemetery&lat=33.839548&lon=-85.402177&lsr=gn&st=Alabama&frm=Heflin&dir=NE&dst=16&frm=Heflin,,33.842339,-85.406071,County Rd 65 x County Rd 234,Fruithurst,,AL,36262,USA
,7514,"Mars Hill Primitive Baptist Church, Cleburne County, Alabama","County Rd 65 x County Rd 234, Fruithurst, AL 36262","33.842339, -85.406071",http://roadsidethoughts.com/cem_map.htm?cem=Mars%20Hill%20Cemetery&lat=33.839548&lon=-85.402177&lsr=gn&st=Alabama&frm=Heflin&dir=NE&dst=16&frm=Heflin,,33.842339,-85.406071,County Rd 65 x County Rd 234,Fruithurst,,AL,36262,USA
,7686,"Mars Hill Primitive Baptist Church, Cleburne County, Alabama","County Rd 65 x County Rd 234, Fruithurst, AL 36262","33.842339, -85.406071",http://roadsidethoughts.com/cem_map.htm?cem=Mars%20Hill%20Cemetery&lat=33.839548&lon=-85.402177&lsr=gn&st=Alabama&frm=Heflin&dir=NE&dst=16&frm=Heflin,,33.842339,-85.406071,County Rd 65 x County Rd 234,Fruithurst,,AL,36262,USA
,7311,"Masonic Lodge, Roberta, Georgia","23 Lowe Rd, Roberta, GA 31078","32.726015, -84.006089",,,32.726015,-84.006089,23 Lowe Rd,Roberta,,GA,31078,USA
,7489,"Masonic Lodge, Roberta, Georgia","23 Lowe Rd, Roberta, GA 31078","32.726015, -84.006089",,,32.726015,-84.006089,23 Lowe Rd,Roberta,,GA,31078,USA
,7319,"Liberty Church (McCormick), Jefferson County, Alabama","7828 McCormick Rd, Dora, AL 35062","33.737918, -87.010312",,,33.737918,-87.010312,7828 McCormick Rd,Dora,,AL,35062,USA
,7496,"Liberty Church (McCormick), Jefferson County, Alabama","7828 McCormick Rd, Dora, AL 35062","33.737918, -87.010312",,,33.737918,-87.010312,7828 McCormick Rd,Dora,,AL,35062,USA
,7669,"Liberty Church (McCormick), Jefferson County, Alabama","7828 McCormick Rd, Dora, AL 35062","33.737918, -87.010312",,,33.737918,-87.010312,7828 McCormick Rd,Dora,,AL,35062,USA
,7321,"Island Park, Geneva, Illinois","2 E State St, Geneva, IL 60134","41.884087, -88.302289",,,41.884087,-88.302289,2 E State St,Geneva,,IL,60134,USA
,7495,"Island Park, Geneva, Illinois","2 E State St, Geneva, IL 60134","41.884087, -88.302289",,,41.884087,-88.302289,2 E State St,Geneva,,IL,60134,USA
,7670,"Island Park, Geneva, Illinois","2 E State St, Geneva, IL 60134","41.884087, -88.302289",,,41.884087,-88.302289,2 E State St,Geneva,,IL,60134,USA
,7324,"Mount Moriah Primitive Baptist Church, Four Mile Community, Alabama","586 4 Mile Church Rd, Anniston, AL 36206","33.759981, -85.774882",,,33.759981,-85.774882,586 4 Mile Church Rd,Anniston,,AL,36206,USA
,7500,"Mount Moriah Primitive Baptist Church, Four Mile Community, Alabama","586 4 Mile Church Rd, Anniston, AL 36206","33.759981, -85.774882",,,33.759981,-85.774882,586 4 Mile Church Rd,Anniston,,AL,36206,USA
,7674,"Mount Moriah Primitive Baptist Church, Four Mile Community, Alabama","586 4 Mile Church Rd, Anniston, AL 36206","33.759981, -85.774882",,,33.759981,-85.774882,586 4 Mile Church Rd,Anniston,,AL,36206,USA
,7325,"Historic Old Corrales Church, Corrales, New Mexico","966 Old Church Rd, Corrales, NM 87048","35.233684, -106.615666",,,35.233684,-106.615666,966 Old Church Rd,Corrales,,NM,87048,USA
,7665,"Historic Old Corrales Church, Corrales, New Mexico","966 Old Church Rd, Corrales, NM 87048","35.233684, -106.615666",,,35.233684,-106.615666,966 Old Church Rd,Corrales,,NM,87048,USA
,7331,The Strafford Town House,"12 Brook Rd, Strafford, VT 05072","43.866731, -72.377666",,,43.866731,-72.377666,12 Brook Rd,Strafford,,VT,05072,USA
