singing_a,singing_b,mapped_minutes_a,mapped_minutes_b,leaders_a,leaders_b,shared_leaders,shared_leader_weight,jaccard,weighted_jaccard,overlap_coefficient,first_year_a,last_year_a,first_year_b,last_year_b,edge_source
Rock Creek-Mountain Home,Ryan Creek Convention,16,13,97,72,72,256.97494911895126,0.7422680412371134,0.717086026101078,1.0,1992,2007,1995,2007,mutual_top_neighbor
Kalamazoo Singing,Michiana Singing,24,30,280,378,252,965.0347461438047,0.6206896551724138,0.5986826359072982,0.9,1999,2025,1993,2025,mutual_top_neighbor
"Futral, Nelson, and Henry Memorial Singing",Smyrna Sacred Harp Singing,17,19,65,70,47,192.33364075443285,0.5340909090909091,0.5535016145962861,0.7230769230769231,2002,2018,2002,2025,mutual_top_neighbor
Hillabee Sacred Harp Convention,Rocky Mount Primitive Baptist Church Homecoming,17,18,59,69,46,191.98655207883957,0.5609756097560976,0.5515340931138152,0.7796610169491526,1999,2021,1999,2025,mutual_top_neighbor
Australian Sacred Harp Convention,Victoria Sacred Harp Singing,8,9,44,28,24,122.27883558327562,0.5,0.5210029275331204,0.8571428571428571,2016,2025,2013,2025,mutual_top_neighbor
Los Angeles Regional Singing,Lunsford and Jolly Memorial Singing,23,22,132,120,86,378.39068780996377,0.5180722891566265,0.5148952139952474,0.7166666666666667,1995,2017,1997,2019,mutual_top_neighbor
Exeter Singing,Maidencreek All Day Singing,24,27,306,375,234,924.1659149818022,0.5234899328859061,0.5110967973487487,0.7647058823529411,2001,2025,1996,2025,mutual_top_neighbor
Pacific Northwest Convention - Oregon,Pacific Northwest Convention - Washington,21,25,357,348,237,977.4730577937295,0.5064102564102564,0.501829683454804,0.6810344827586207,1997,2025,1997,2025,mutual_top_neighbor
Holmfirth Sacred Harp Singing,Oldham Sacred Harp Singing Day,6,8,43,43,30,113.75352142566723,0.5357142857142857,0.4970017495199473,0.6976744186046512,2008,2016,2009,2016,mutual_top_neighbor
Cedar Creek Singing,Mount Pisgah Primitive Baptist Church,8,18,25,37,19,95.32434306350875,0.4418604651162791,0.48824477873121286,0.76,2012,2019,2010,2025,mutual_top_neighbor
Brighton Sacred Harp Singing Day,Lewes Sacred Harp Singing Day,7,14,106,89,64,262.5506343737,0.48854961832061067,0.48021688307885213,0.7191011235955056,2016,2025,2011,2025,mutual_top_neighbor
New England Convention,Western Massachusetts Sacred Harp Singing Convention,27,24,612,662,420,1681.9579148907285,0.4918032786885246,0.4782721940805674,0.6862745098039216,1992,2025,1999,2025,mutual_top_neighbor
Australian Sacred Harp Convention,Sydney Singing,8,6,44,23,21,106.25385794141123,0.45652173913043476,0.47470495597982926,0.9130434782608695,2016,2025,2016,2025,mutual_top_neighbor
Keystone Sacred Harp Convention,Maidencreek All Day Singing,23,27,513,375,290,1139.0350024162913,0.48494983277591974,0.4711008611002513,0.7733333333333333,1999,2025,1996,2025,mutual_top_neighbor
Boston Singing,Rhode Island Singing,12,19,233,300,176,662.61082557141,0.49299719887955185,0.46728593137105207,0.7553648068669528,2010,2025,2004,2025,mutual_top_neighbor
H. R. Avery Memorial Singing,Hillabee Sacred Harp Convention,25,17,95,59,46,199.01390005772953,0.42592592592592593,0.45792900129423647,0.7796610169491526,1997,2025,1999,2021,mutual_top_neighbor
Cornelius Benjamin Keeton and Travis Keeton Memorial Singing,Shady Grove (Keeton Cemetery),30,33,188,219,135,462.46530243610346,0.4963235294117647,0.45736016079849384,0.7180851063829787,1992,2023,1992,2025,mutual_top_neighbor
Clifford Wakefield Memorial,Wakefield Memorial Singing,31,30,162,157,99,391.1482685867515,0.45,0.4525906554337021,0.6305732484076433,1992,2024,1994,2025,mutual_top_neighbor
"Dutton, Green, and Jackson Memorial","Martha Harper Nix, Lewis Keeton, and Lavada McGough Gilmore Memorial",17,18,119,123,77,276.56185035157654,0.4666666666666667,0.45132287773325497,0.6470588235294118,1992,2008,1992,2010,mutual_top_neighbor
Dominic Ciavonne Ziegler Memorial Singing,Palo Alto Singing,8,11,71,92,52,207.25502172625696,0.46846846846846846,0.4477891499560224,0.7323943661971831,2013,2020,2012,2023,mutual_top_neighbor
South Yorkshire Singing,West Yorkshire Sacred Harp Day,19,17,145,124,85,340.76636032464313,0.46195652173913043,0.4424602780590506,0.6854838709677419,2008,2025,2004,2023,mutual_top_neighbor
Ivey Memorial Singing,Liberty Decoration Day Singing,33,30,460,374,260,955.8018576116091,0.4529616724738676,0.4392912045429631,0.6951871657754011,1992,2025,1995,2025,mutual_top_neighbor
Lewes Sacred Harp Singing Day,Thanksgiving Sacred Harp Singing,14,13,89,103,61,244.95404599118226,0.46564885496183206,0.43890437735293447,0.6853932584269663,2011,2025,2011,2025,mutual_top_neighbor
Dallas County Singing,William J. Reynolds Sacred Harp Singing,25,24,163,145,96,415.4710478700429,0.4528301886792453,0.4383240413331348,0.6620689655172414,1999,2025,1994,2025,mutual_top_neighbor
