region_id,region_name,region_size,singings_with_location,dominant_state_province,dominant_country,state_province_counts,country_counts,centroid_latitude,centroid_longitude,sample_singings,name_anchor,name_basis
S001,West Georgia and North Fulton County,17,17,GA,USA,GA:16; AL:1,USA:17,33.729666,-84.966111,Mt. Zion Memorial | Alpharetta Municipal Building | Holly Springs Memorial Singing | Union Musical Convention | Holly Springs Church,Mt. Zion Memorial,manual_anchor_singing
S002,"North-Central Alabama, Winston",14,13,AL,USA,AL:12; MS:1,USA:13,34.188949,-87.444589,Kermit Adams and Steve Adams Memorial Singing | Shady Grove Annual Singing | Winston County Convention | Clifford Wakefield Memorial | Godsey Sisters and Sandra Spradlin Memorial Singing,Kermit Adams and Steve Adams Memorial Singing,manual_anchor_singing
S003,British Isles and Europe,18,18,England,United Kingdom,England:10; Munster:2; Wales:1; GA:1,United Kingdom:11; Ireland:2; Germany:1; Poland:1,51.675396,-0.9443269999999999,United Kingdom Sacred Harp Convention | Oxford Sacred Harp Singing Day | London Singing | Gwehelog Singing | Lewes Sacred Harp Singing Day,United Kingdom Sacred Harp Convention,manual_anchor_singing
S004,Sand Mountain and Large Alabama Singings,17,17,AL,USA,AL:17,USA:17,34.014906,-85.857076,Henagar-Union Convention | Ivey Memorial Singing | Alabama Sacred Harp Musical Association | Hopewell Homecoming | Lacy Memorial,Henagar-Union Convention,manual_anchor_singing
S005,Northern England,11,11,England,United Kingdom,England:10; Scotland:1,United Kingdom:11,53.538485,-1.568647,East Midlands Sacred Harp Convention | New Year's Day Singing | South Yorkshire Singing | Stapleford Sacred Harp Singing | West Yorkshire Sacred Harp Day,East Midlands Sacred Harp Convention,manual_anchor_singing
S006,East Alabama and West Georgia,13,13,AL,USA,AL:9; GA:4,USA:13,33.770347,-85.406945,"Cane Creek Primitive Baptist Church | Edwardsville Church | Labor Day Singing | Old Harmony Primitive Baptist Church | Albright, Cates, Brown, and Sheppard Memorial Singing",Labor Day Singing,manual_anchor_singing
S007,Upper Midwest,14,14,IL,USA,IL:5; MO:3; WI:1; MN:1,USA:14,41.7904235,-89.1617215,All-Wisconsin Sacred Harp Singing | Lincoln's Birthday Singing | Midwest Convention | Chicago Anniversary Singing | Michiana Singing,All-Wisconsin Sacred Harp Singing,manual_anchor_singing
S008,"New England, New York City, and Quebec",15,15,MA,USA,MA:6; VT:2; ME:2; RI:1,USA:13; Canada:2,42.3262655,-72.059685,New England Convention | Vermont State Singing | Western Massachusetts Sacred Harp Singing Convention | Maine Singing | Quebec Convention,New England Convention,manual_anchor_singing
S009,"New York, New Jersey, and Virginia",9,9,VA,USA,VA:4; NY:4; NJ:1,USA:9,40.833339,-77.193882,James River Convention | Potomac River Convention | New York State Convention | New York State Regional Singing - June | Northern Shenandoah Valley Singing,Potomac River Convention,manual_anchor_singing
S010,Pacific Northwest,8,8,WA,USA,WA:4; OR:4,USA:8,45.7790745,-122.633189,Pacific Northwest Convention - Washington | Eugene Singing | Pacific Northwest Convention - Oregon | Portland Sacred Harp Singing | Cape Meares Singing,Pacific Northwest Convention - Washington,manual_anchor_singing
