singing,region_id,region_size,mapped_minutes,distinct_leaders,first_year,last_year,region_distinct_leaders,merge_score,merge_reason,seed_region_id,seed_region_size,seed_region_distinct_leaders,seed_internal_edges,seed_mean_internal_weighted_jaccard
Mt. Zion Memorial,S001,17,34,310,1992,2025,1423,,seed_region,S001,14,1348,14,0.28575092667896895
Union Musical Convention,S001,17,33,377,1992,2025,1423,,seed_region,S001,14,1348,14,0.28575092667896895
Holly Springs Memorial Singing,S001,17,33,355,1992,2025,1423,,seed_region,S001,14,1348,14,0.28575092667896895
Alpharetta Municipal Building,S001,17,33,138,1992,2025,1423,,seed_region,S001,14,1348,14,0.28575092667896895
Holly Springs Church,S001,17,32,579,1992,2025,1423,,seed_region,S001,14,1348,14,0.28575092667896895
Georgia State Sacred Harp Singing Convention,S001,17,31,676,1992,2025,1423,,seed_region,S001,14,1348,14,0.28575092667896895
Chattahoochee Sacred Harp Convention,S001,17,31,488,1992,2024,1423,,seed_region,S001,14,1348,14,0.28575092667896895
Denney Memorial,S001,17,29,199,1995,2025,1423,,seed_region,S001,14,1348,14,0.28575092667896895
Oak Grove Primitive Baptist Church - Alpharetta,S001,17,29,91,1992,2017,1423,,seed_region,S001,14,1348,14,0.28575092667896895
DeLong-Roberts Memorial Singing,S001,17,28,229,1992,2019,1423,,seed_region,S001,14,1348,14,0.28575092667896895
University of West Georgia,S001,17,28,171,1993,2020,1423,,seed_region,S001,14,1348,14,0.28575092667896895
Emmaus Baptist Church - Carrollton,S001,17,16,104,1992,2007,1423,,seed_region,S001,14,1348,14,0.28575092667896895
New Hope Memorial Singing,S001,17,10,57,1992,2005,1423,,seed_region,S001,14,1348,14,0.28575092667896895
Martin Blackmon Memorial,S001,17,6,55,1992,1997,1423,,seed_region,S001,14,1348,14,0.28575092667896895
B.M. Smith Memorial Singing,S001,17,8,84,2013,2020,1423,0.1812349960459419,small_region_best_match,S061,1,84,0,
Flat Shoals Primitive Baptist Church Singing,S001,17,15,185,2007,2022,1423,0.1564486197165447,small_region_best_match,S079,1,185,0,
Salem United Methodist Church,S001,17,18,221,2002,2019,1423,0.17939274178112768,small_region_best_match,S118,1,221,0,
Kermit Adams and Steve Adams Memorial Singing,S002,14,33,215,1992,2025,556,,seed_region,S002,14,556,16,0.3329901915673922
Winston County Convention,S002,14,32,230,1992,2025,556,,seed_region,S002,14,556,16,0.3329901915673922
Shady Grove Annual Singing,S002,14,32,166,1993,2025,556,,seed_region,S002,14,556,16,0.3329901915673922
Clifford Wakefield Memorial,S002,14,31,162,1992,2024,556,,seed_region,S002,14,556,16,0.3329901915673922
Godsey Sisters and Sandra Spradlin Memorial Singing,S002,14,31,137,1992,2025,556,,seed_region,S002,14,556,16,0.3329901915673922
Wakefield Memorial Singing,S002,14,30,157,1994,2025,556,,seed_region,S002,14,556,16,0.3329901915673922
Mt. Ebron Church Memorial Singing,S002,14,28,141,1992,2019,556,,seed_region,S002,14,556,16,0.3329901915673922
Bear Creek Convention,S002,14,18,92,1992,2009,556,,seed_region,S002,14,556,16,0.3329901915673922
Cherry Tree Singing,S002,14,17,88,1992,2009,556,,seed_region,S002,14,556,16,0.3329901915673922
Pine Tucky Church,S002,14,10,60,1992,2001,556,,seed_region,S002,14,556,16,0.3329901915673922
Mountain Home Church,S002,14,9,65,1992,2000,556,,seed_region,S002,14,556,16,0.3329901915673922
Marion County Court House Singing,S002,14,8,61,1993,2000,556,,seed_region,S002,14,556,16,0.3329901915673922
The Log Cabin Sacred Harp Singing,S002,14,7,66,1992,1998,556,,seed_region,S002,14,556,16,0.3329901915673922
Macedonia Baptist Church,S002,14,7,66,1993,1999,556,,seed_region,S002,14,556,16,0.3329901915673922
United Kingdom Sacred Harp Convention,S003,18,29,458,1996,2025,805,,seed_region,S003,13,708,13,0.37341552349614876
Oxford Sacred Harp Singing Day,S003,18,20,119,2000,2019,805,,seed_region,S003,13,708,13,0.37341552349614876
London Singing,S003,18,16,220,2008,2025,805,,seed_region,S003,13,708,13,0.37341552349614876
Gwehelog Singing,S003,18,14,112,2009,2025,805,,seed_region,S003,13,708,13,0.37341552349614876
Lewes Sacred Harp Singing Day,S003,18,14,89,2011,2025,805,,seed_region,S003,13,708,13,0.37341552349614876
Cork All-Day Singing,S003,18,13,138,2011,2025,805,,seed_region,S003,13,708,13,0.37341552349614876
Thanksgiving Sacred Harp Singing,S003,18,13,103,2011,2025,805,,seed_region,S003,13,708,13,0.37341552349614876
Ireland Sacred Harp Singing Convention,S003,18,11,412,2011,2025,805,,seed_region,S003,13,708,13,0.37341552349614876
Sussex Shape Note Singing,S003,18,10,45,2011,2022,805,,seed_region,S003,13,708,13,0.37341552349614876
Bristol Singing,S003,18,9,153,2014,2024,805,,seed_region,S003,13,708,13,0.37341552349614876
Winchester Singing,S003,18,8,87,2018,2025,805,,seed_region,S003,13,708,13,0.37341552349614876
Brighton Sacred Harp Singing Day,S003,18,7,106,2016,2025,805,,seed_region,S003,13,708,13,0.37341552349614876
Oxford Singing,S003,18,5,61,2020,2025,805,,seed_region,S003,13,708,13,0.37341552349614876
Germany Sacred Harp Convention,S003,18,10,229,2014,2025,805,0.33359962323675696,small_region_best_match,S032,3,338,2,0.26179885564581346
Poland Sacred Harp Singing Convention,S003,18,8,184,2009,2018,805,0.33359962323675696,small_region_best_match,S032,3,338,2,0.26179885564581346
Oslo Sacred Harp Singing,S003,18,7,92,2015,2025,805,0.33359962323675696,small_region_best_match,S032,3,338,2,0.26179885564581346
Olney Sacred Harp Singing,S003,18,5,59,2007,2025,805,0.15027446987501422,small_region_best_match,S109,1,59,0,
Paris Sacred Harp Singing,S003,18,5,70,2016,2023,805,0.17697257218633625,small_region_best_match,S111,1,70,0,
Henagar-Union Convention,S004,17,33,1046,1992,2025,2733,,seed_region,S004,11,2141,11,0.3244431518359043
Ivey Memorial Singing,S004,17,33,460,1992,2025,2733,,seed_region,S004,11,2141,11,0.3244431518359043
The United Sacred Harp Musical Association,S004,17,32,1184,1992,2025,2733,,seed_region,S004,11,2141,11,0.3244431518359043
Alabama Sacred Harp Musical Association,S004,17,32,769,1992,2025,2733,,seed_region,S004,11,2141,11,0.3244431518359043
Lookout Mountain Convention,S004,17,32,687,1992,2025,2733,,seed_region,S004,11,2141,11,0.3244431518359043
Lacy Memorial,S004,17,32,424,1992,2025,2733,,seed_region,S004,11,2141,11,0.3244431518359043
Independence Day Singing,S004,17,31,644,1992,2025,2733,,seed_region,S004,11,2141,11,0.3244431518359043
Liberty Decoration Day Singing,S004,17,30,374,1995,2025,2733,,seed_region,S004,11,2141,11,0.3244431518359043
Pine Grove Singing,S004,17,27,252,1998,2025,2733,,seed_region,S004,11,2141,11,0.3244431518359043
Camp Fasola Singing School,S004,17,11,424,2008,2018,2733,,seed_region,S004,11,2141,11,0.3244431518359043
Camp Fasola,S004,17,7,359,2003,2023,2733,,seed_region,S004,11,2141,11,0.3244431518359043
Hopewell Homecoming,S004,17,32,469,1992,2025,2733,0.32667066399105765,small_region_best_match,S029,3,796,2,0.26996256439063787
"Alexander, Hullett, Lowe, Brothers, Hyatt, Putman, and Wootten Memorial",S004,17,31,271,1992,2025,2733,0.32667066399105765,small_region_best_match,S029,3,796,2,0.26996256439063787
Aldridge Memorial,S004,17,28,441,1992,2019,2733,0.32667066399105765,small_region_best_match,S029,3,796,2,0.26996256439063787
Camp Fasola - Adult Emphasis,S004,17,12,349,2008,2019,2733,0.17611552178861234,small_region_best_match,S063,1,349,0,
National Sacred Harp Singing Convention,S004,17,27,852,1995,2023,2733,0.27009146002514633,small_region_best_match,S099,1,852,0,
Young People's Convention,S004,17,30,942,1993,2025,2733,0.2552072442084312,small_region_best_match,S125,1,942,0,
East Midlands Sacred Harp Convention,S005,11,23,170,2002,2025,332,,seed_region,S005,11,332,12,0.3882263958553051
South Yorkshire Singing,S005,11,19,145,2008,2025,332,,seed_region,S005,11,332,12,0.3882263958553051
New Year's Day Singing,S005,11,19,101,2006,2025,332,,seed_region,S005,11,332,12,0.3882263958553051
Stapleford Sacred Harp Singing,S005,11,18,95,2004,2025,332,,seed_region,S005,11,332,12,0.3882263958553051
West Yorkshire Sacred Harp Day,S005,11,17,124,2004,2023,332,,seed_region,S005,11,332,12,0.3882263958553051
Scotland Singing,S005,11,11,99,2013,2025,332,,seed_region,S005,11,332,12,0.3882263958553051
Newcastle Upon Tyne Sacred Harp Singing,S005,11,11,92,2006,2019,332,,seed_region,S005,11,332,12,0.3882263958553051
Goodshaw Sacred Harp Day,S005,11,9,69,2010,2019,332,,seed_region,S005,11,332,12,0.3882263958553051
Sheffield Sacred Harp Singing Day,S005,11,8,88,2009,2018,332,,seed_region,S005,11,332,12,0.3882263958553051
Oldham Sacred Harp Singing Day,S005,11,8,43,2009,2016,332,,seed_region,S005,11,332,12,0.3882263958553051
Holmfirth Sacred Harp Singing,S005,11,6,43,2008,2016,332,,seed_region,S005,11,332,12,0.3882263958553051
Labor Day Singing,S006,13,34,285,1992,2025,620,,seed_region,S006,9,516,10,0.33698902486830423
Cane Creek Primitive Baptist Church,S006,13,34,157,1992,2025,620,,seed_region,S006,9,516,10,0.33698902486830423
Edwardsville Church,S006,13,34,133,1992,2025,620,,seed_region,S006,9,516,10,0.33698902486830423
Old Harmony Primitive Baptist Church,S006,13,34,112,1992,2025,620,,seed_region,S006,9,516,10,0.33698902486830423
"Albright, Cates, Brown, and Sheppard Memorial Singing",S006,13,32,194,1992,2025,620,,seed_region,S006,9,516,10,0.33698902486830423
"Alewine, Laminack, and Stephen McElroy Memorial Singing",S006,13,32,112,1992,2025,620,,seed_region,S006,9,516,10,0.33698902486830423
Cleburne County Convention,S006,13,31,165,1992,2023,620,,seed_region,S006,9,516,10,0.33698902486830423
Jack and Henry Kerr Memorial,S006,13,26,118,1995,2023,620,,seed_region,S006,9,516,10,0.33698902486830423
McWhorter Memorial,S006,13,15,92,1995,2009,620,,seed_region,S006,9,516,10,0.33698902486830423
