singing,region_id,region_size,mapped_minutes_total,located_minutes,location_count,latitude,longitude,mean_latitude,mean_longitude,state_province,country,city,county,location_p90_miles,location_max_miles,location_mean_miles
Alpharetta Municipal Building,S001,17,33,30,4,34.074989,-84.293225,34.072450,-84.282860,GA,USA,Alpharetta,,3.8336561374757454,3.8336561374757454,0.7011693870552568
B.M. Smith Memorial Singing,S001,17,8,8,1,34.379148,-85.174968,34.379148,-85.174968,GA,USA,Armuchee,,0.0,0.0,0.0
Chattahoochee Sacred Harp Convention,S001,17,31,30,1,33.556988,-84.966111,33.556988,-84.966111,GA,USA,Whitesburg,,0.0,0.0,0.0
DeLong-Roberts Memorial Singing,S001,17,28,25,3,33.970467,-84.338826,33.861426,-84.482953,GA,USA,Dunwoody,,46.2580139261074,46.2580139261074,14.70737341294133
Denney Memorial,S001,17,29,29,2,33.516981,-85.087110,33.482493,-85.094884,GA,USA,Carrollton,,8.789473799122414,8.789473799122414,2.424682427344114
Emmaus Baptist Church - Carrollton,S001,17,16,13,1,33.516981,-85.087110,33.516981,-85.087110,GA,USA,Carrollton,,0.0,0.0,0.0
Flat Shoals Primitive Baptist Church Singing,S001,17,15,15,1,33.606238,-84.175965,33.606238,-84.175965,GA,USA,Stockbridge,,0.0,0.0,0.0
Georgia State Sacred Harp Singing Convention,S001,17,31,28,9,33.775122,-84.683068,33.780900,-84.641195,GA,USA,Carrollton,,34.26666810120831,80.96041805045822,32.35411283562896
Holly Springs Church,S001,17,32,29,1,33.683408,-85.149538,33.683408,-85.149538,GA,USA,Bremen,,0.0,0.0,0.0
Holly Springs Memorial Singing,S001,17,33,30,1,33.683408,-85.149538,33.683408,-85.149537,GA,USA,Bremen,,0.0,0.0,0.0
Martin Blackmon Memorial,S001,17,6,3,1,33.729666,-84.901310,33.729666,-84.901310,GA,USA,Villa Rica,,0.0,0.0,0.0
Mt. Zion Memorial,S001,17,34,29,1,33.635849,-85.186858,33.635849,-85.186858,GA,USA,Mt Zion,,0.0,0.0,0.0
New Hope Memorial Singing,S001,17,10,9,1,33.729666,-84.901310,33.729666,-84.901310,GA,USA,Villa Rica,,0.0,0.0,0.0
Oak Grove Primitive Baptist Church - Alpharetta,S001,17,29,23,1,34.165021,-84.318133,34.165021,-84.318133,GA,USA,Alpharetta,,0.0,0.0,0.0
Salem United Methodist Church,S001,17,18,18,1,34.247991,-85.474354,34.247991,-85.474354,AL,USA,Cedar Bluff,,0.0,0.0,0.0
