"Name","Date","IsVirtual"
"Dispersed Harmony Online Singing \n During THE Covid-19 Pandemic, Part 1","March 20 - November 20, 2020",1
"Vermont Virtual Sacred Harp Singing","Saturday, March 21, 2020",1
"Easter Singing","Sunday, April 12, 2020",1
"North Carolina Small Group, June-November, 2020","June 13 - November 21, 2020",1
"Mt. Zion Memorial Singing","Sunday, July 26, 2020",1
"Central Ontario Sacred Harp Convention","August 21-23, 2020",1
"Palo Alto Singing \n and Marian Bush Memorial Singing","Saturday, August 22, 2020",1
"Minnesota State Sacred Harp Singing Convention","Saturday, September 26, 2020",1
"All-California Sacred Harp Singing Convention, Online","Saturday, January 16, 2021",1
"Philadelphia Midwinter Online Sacred Harp Singing","January 23, 2021",1
"Lincoln’s Birthday Singing","Saturday, February 13, 2021",1
"Pacific Northwest Convention, Washington","February 21, 2021",1
"The Big Singing Day Digital Get-Together","Sunday, May 23, 2021",1
"Society FOR American Music Singing","Thursday, June 10, 2021",1
